Country Name,Country Code,Labour Force 2003,Labour Force 2004,Labour Force 2005,Labour Force 2006,Labour Force 2007,Labour Force 2008,Labour Force 2009,Labour Force 2010,Labour Force 2011,Labour Force 2012,Labour Force 2013,Labour Force 2014,Labour Force 2015,Labour Force 2016,Labour Force 2017,Labour Force 2018,Labour Force 2019,Labour Force 2020,Labour Force 2021,Labour Force 2022,Labour Force 2023,Population 2003,Population 2004,Population 2005,Population 2006,Population 2007,Population 2008,Population 2009,Population 2010,Population 2011,Population 2012,Population 2013,Population 2014,Population 2015,Population 2016,Population 2017,Population 2018,Population 2019,Population 2020,Population 2021,Population 2022,Population 2023,Unemployment Rate 2003,Unemployment Rate 2004,Unemployment Rate 2005,Unemployment Rate 2006,Unemployment Rate 2007,Unemployment Rate 2008,Unemployment Rate 2009,Unemployment Rate 2010,Unemployment Rate 2011,Unemployment Rate 2012,Unemployment Rate 2013,Unemployment Rate 2014,Unemployment Rate 2015,Unemployment Rate 2016,Unemployment Rate 2017,Unemployment Rate 2018,Unemployment Rate 2019,Unemployment Rate 2020,Unemployment Rate 2021,Unemployment Rate 2022,Unemployment Rate 2023
Mongolia,MNG,1029272,1053791,1077414,1099078,1118127,1105129,1121694,1153589,1195069,1203558,1210993,1241618,1254113,1248388,1282474,1296309,1388801,1359751,1327149,1389489,1402844,2516454,2537949,2559255,2581242,2605643,2633887,2666713,2702520,2743938,2792349,2845153,2902823,2964749,3029555,3096030,3163991,3232430,3294335,3347782,3398366,3447157,6.768,6.852,7.015,7.193,7.2,5.565,5.86,6.549,4.769,3.905,4.231,4.798,4.861,7.235,6.359,5.377,9.269,6.594,7.747,6.211,6.134
Montenegro,MNE,238747,239452,240065,240240,240744,241322,242945,243784,244506,251895,252989,266788,272361,276767,277876,284888,292098,271119,276234,284490,285512,612267,613353,614261,615025,615875,616969,618294,619428,620079,620601,621207,621810,622159,622303,622373,622227,622028,621306,619211,617213,616177,30.318,30.315,30.31,24.843,19.4,17.15,19.09,19.649,19.759,19.808,19.585,18.054,17.555,17.732,16.082,15.19,15.128,17.878,16.543,15.288,15.254
Morocco,MAR,10184411,10395656,10618681,10841391,11058308,11268009,11361433,11445798,11533785,11546217,11708832,11827998,11854873,11796246,11696824,11926569,12161541,11951801,12285624,12182515,12284010,29661270,30033125,30431902,30833022,31232633,31634992,32042877,32464865,32903699,33352169,33803527,34248603,34680458,35107264,35528115,35927511,36304408,36688772,37076584,37457971,37840044,11.92,10.83,11.01,9.67,9.56,9.57,8.96,9.09,8.91,8.99,9.23,9.7,9.46,9.3,9.229,9.282,9.21,11.203,10.539,9.53,9.114
Mozambique,MOZ,8739807,8925284,9114106,9304311,9503272,9704963,9909785,10136050,10392301,10678295,10991654,11326670,11678215,12098571,12527179,12938717,13352327,13664108,14105884,14692946,15191227,19186754,19694411,20211114,20735982,21280513,21845571,22436660,23073723,23760421,24487611,25251731,26038704,26843246,27696493,28569441,29423878,30285595,31178239,32077072,32969518,33897354,2.869,2.958,3.029,3.027,3.065,3.095,3.182,3.24,3.279,3.305,3.338,3.378,3.426,3.48,3.543,3.602,3.632,3.877,3.984,3.621,3.535
Myanmar,MMR,22785706,22864534,22936884,23010264,23098783,23190340,23281426,23425673,23653727,23865743,24061830,24256532,24454335,24239329,24004375,24412306,23943305,24060818,22303449,22526660,22884069,46924293,47338446,47724471,48088274,48445647,48729486,49015836,49390988,49794522,50218185,50648334,51072436,51483949,51892349,52288341,52666014,53040212,53423198,53798084,54179306,54577997,0.683,0.678,0.67,0.669,0.673,0.684,0.696,0.707,0.723,0.742,0.753,0.749,0.766,1.043,1.356,0.767,0.407,1.476,4.34,2.83,2.841
Namibia,NAM,623518,639729,657389,676327,695564,714935,734219,753051,771227,789420,862767,867194,881284,895063,899482,903161,918680,915520,938865,968424,988727,1915425,1939406,1962865,1986558,2011492,2038552,2067919,2099271,2132340,2167470,2204510,2243001,2282704,2323352,2364534,2405680,2446644,2489098,2530151,2567012,2604172,22.068,22.09,22.105,21.861,22.11,22.004,22.253,22.12,19.479,16.771,19.028,18.521,20.799,23.352,21.739,19.877,19.945,20.966,20.877,19.748,19.422
Nepal,NPL,6312468,6414070,6507057,6604709,6692357,6775944,6858521,6942401,7014343,7075931,7135041,7203131,7291304,7456083,7643767,7831309,8020290,8167299,8481802,8740707,8937228,25682908,26003965,26285110,26518971,26713655,26881544,27026941,27161567,27266399,27330694,27381555,27462106,27610325,27861186,28183426,28506712,28832496,29348627,30034989,30547580,30896590,10.677,10.68,10.652,10.659,10.672,10.65,10.64,10.629,10.653,10.654,10.667,10.647,10.655,10.684,10.66,10.63,10.578,13.157,12.315,10.922,10.685
Netherlands,NLD,8561053,8618836,8457142,8508765,8674930,8830188,8909191,8887012,8900853,9013873,9054383,9031991,9095975,9128587,9194515,9309225,9466453,9502134,9620091,9793778,9998892,16225302,16281779,16319868,16346101,16381696,16445593,16530388,16615394,16693074,16754962,16804432,16865008,16939923,17030314,17131296,17231624,17344874,17441500,17533044,17700982,17879488,3.593,4.646,5.873,5.002,4.153,3.654,4.347,4.989,4.977,5.821,7.243,7.416,6.873,6.006,4.839,3.831,3.38,3.819,4.21,3.524,3.561
New Caledonia,NCL,104428,106291,108456,110811,112964,114986,116892,119234,121920,124548,127142,129509,128247,126568,124736,122671,120317,120505,119056,119298,119284,225296,228750,232250,235750,239250,242750,245950,249750,254350,259000,263650,268050,269460,270220,270810,271170,271240,271080,270390,269215,267940,16.719,16.31,15.77,15.238,14.758,14.368,13.97,13.95,13.937,14.053,14.348,14.59,13.637,12.714,11.676,11.702,10.881,13.558,12.537,11.291,11.22
New Zealand,NZL,2079431,2137480,2194674,2246222,2279860,2300955,2318533,2339998,2373473,2380183,2395429,2474895,2535320,2642836,2740052,2794483,2834203,2893601,2934771,2966709,3068205,4027200,4087500,4133900,4184600,4223800,4259800,4302600,4350700,4384000,4408100,4442100,4516500,4609400,4714100,4813600,4900600,4979200,5090200,5111300,5117200,5223100,4.745,4.005,3.807,3.857,3.661,4.167,6.121,6.557,6.491,6.931,5.839,5.428,5.415,5.147,4.736,4.335,4.109,4.595,3.776,3.297,3.737
